10000	TELCM T1
10001	MOB FLD
10003	RAD SHOP
10004	ENG RSD
10006	MW SHOP
10007	ANT VLY
10008	OUT PLNT
10009	ENG NSD
10012	TRANSPTN
10016	AUD VID
10019	TEL SHOP
10021	DATA FMS
10023	10023
10026	DIST 1
10027	DIST 2
10028	DIST 3
10029	DIST 4
10030	GEN SHOP
10031	CRFT SUP
10032	FACS
10033	CRFT COM
10034	PURCHASE
10035	PARKING
10036	ISD SUPT
10037	ISD HQ
10038	ISD EXEC EOC
10042	10042
10045	FIELDTECH
10046	ISSI 1
10047	ISSI 2
10048	ISSI 3
10049	ISSI 4
10050	ISSI 5
10051	ISSI 6
10052	ISSI 7
10053	ISSI 8
10054	ISSI 9
10055	ISSI 10
10056	ISSI 11
10057	ISSI 12
10058	ISSI 13
10059	ISSI 14
10060	ISSI 15
10061	ISSI 16
10062	TELCM T2
10063	CFMB 1
10064	CFMB 2
10065	CFMB 3
10175	10175
10176	10176
10178	10178
10179	10179
10180	OSD SIGNALS
10181	10181
10183	10183
10184	DPW SIGN
10186	10186
10187	10187
10191	FMD EAST
10192	FMD WEST
10193	FMD SOUTH
10194	10194
10195	RMD BASE
10196	RMD 1
10197	RMD 2
10198	RMD 3
10199	RMD 4
10200	RMD 5
10201	10201
10202	WW DISP
10204	WW NORTH
10205	SM SOUTH
10206	SM CONTROL
10207	SM EAST
10209	10209
10281	SANIT1 LBWRP
10282	SANIT 2
10288	SANIT 8
10291	SANIT 11
10296	10296
10297	SCHOLL CYN
10300	10300
10301	LANDFILL
10303	LANDFILL
10384	PB TRANS
10385	10385
10395	10396
10419	10419
10421	10421
10422	10422
10423	10423
10427	10427
10428	10428
10429	10429
10430	10430
10431	10431
10433	10433
10434	10434
10435	10435
10436	10436
10437	10437
10438	10438
10439	10439
10441	10441
10691	DACC 2
10692	DACC 1
10693	10693
10694	10694
10694	DACC 4
10697	10697
10741	DBH PRIMARY
10752	10752
10753	DBH PARKING
10754	10754
10796	CEO EM
10797	COR EM
10798	DHS EM
10799	DPSS EM
10800	DPW EM
10801	FIRE EM
10802	ISD EM
10803	OEM EM
10804	SHER EM
10805	LA CITY
10806	RED CROSS
10807	AREA CRD
10808	EOC ALL
10809	PROB EM
10810	DMH EM
10811	DPH EM
10814	10814
10819	DMAC G
10822	DACC EM
10823	LACO 1
10824	LACO 2
10825	LACO 3
10826	LACO 4
10827	LACO 5
10828	LACO 6
10829	LACO 7
10830	LACO 8
10831	LACO 9
10832	LACO 10
10833	LACO 11
10834	LACO 12
10835	LACO 13
10836	LACO 14
10837	LACO 15
10885	10885
10886	DPH TRANSPO
10895	10895
10903	10903
10984	PR CREWS
10988	CSTC DPT
10994	BON DPT
10995	10995
11002	11002
11003	11003
11004	11004
11005	SFD 2
11006	SFD 3
11009	11009
11016	11016
11078	11078
11079	11079
11080	11080
11081	11081
11082	11082
11083	11083
11084	11084
11087	11087
11089	11089
11090	11090
11091	11091
11095	11095
11096	DPH COMMON
11097	DPH EOC
11098	11098
11100	11100
11102	11102
11103	11103
11104	11104
11234	11234
11256	DCFS  2
11360	11360
11407	CORONER 1
11408	CORONER 2
11410	11410
11497	11497
11505	11505
11595	LIBRARY 1
11601	LIB ISD
11638	11638
11643	11643
11649	LAPD ACC
11650	LASD ACCESS
11651	SH MA 1
11652	SH MA 2
11653	SH MA 3
11654	SH MA 4
11655	SH MA 5
11656	PATCH 8
11657	LACOFD ADM
11784	11784
11815	11815
11815	EMERCALL
11816	PAR PRI
11817	PAR TAC 1
11818	PAR TAC 2
11819	PAR TAC 3
11820	PAR TAC 4
11821	PAR TAC 5
11822	CPAT MAIN
11823	SSU TAC 1
11824	OCS PRI
11825	FAT TAC 1
11826	FAT TAC 2
11827	FAT TAC 3
11828	SSU TAC 2
11837	DAPO ALL
11838	OCS ALL
11839	11839
11839	CPAT 1
11840	CPAT 2
11841	CPAT 3
11842	CPAT 4
11843	CPAT T1
11844	CPAT T2
11959	11959
12035	12035
63333	63333
64001	64001
64002	64002
64003	64003
64004	64004
64006	64006
64009	64009
64051	64051
64053	64053
65121	65121
65126	65126
65136	65136
65160	65160
