1	LASD A
2	LASD B
3	LASD C
4	LASD D
7	LACoFD A
8	LACoFD B
9	LACoFD C
10	LACoFD D
13	Test 13
16	Test 16
26	MOTO 2
41	MOTO
42	MOTO
44	LACoFD ADP
47	MOTO
73	LASD EOB BRN
75	LASD EOB GLD
77	LASD EOB GRN
79	LASD EOB RED
83	EVENT 1
84	EVENT 2
85	EVENT 3
86	EVENT 4
87	EVENT 5
88	EVENT 6
89	EVENT 7
90	EVENT 8
91	EVENT 9
92	EVENT 10
93	EVENT 11
94	EVENT 12
95	EVENT 13
96	EVENT 14
97	EVENT 15
101	CALL ZZ
102	CMD ZZ
103	TAC ZZ3
104	TAC ZZ4
105	TAC ZZ5
106	TAC ZZ6
107	TAC ZZ7
108	TAC ZZ8
109	TAC ZZ9
110	TAC ZZ10
111	TAC ZZ11
112	TAC ZZ12
113	TAC ZZ13
114	TAC ZZ14
115	TAC ZZ15
116	EMER ZZ
201	CALL YY
202	CMD YY
203	TAC YY3
204	TAC YY4
205	TAC YY5
206	TAC YY6
207	TAC YY7
208	TAC YY8
209	TAC YY9
209	TAC YY9
210	TAC YY10
211	TAC YY11
212	TAC YY12
213	TAC YY13
214	TAC YY14
215	TAC YY15
216	EMER YY
303	LASD DISP3
305	LASD DISP5
306	LASD DISP6
314	LASD DISP14
315	LASD DISP15
316	LASD DISP35
317	LASD SCC
318	LASD ABD
319	LASD SUD
2020	LASD RADIO
2021	RADIO SHOP1
2022	RADIO SHOP2
2035	LASD EOB 1
2036	LASD EOB 2
2040	LADA DESK
2041	2041
2061	LADA 1
2070	2070
2099	LASD SRT 1
2105	LASD SRT 2
2554	LASD TECH B
2555	LASD TECH A
2559	ISSI
2578	LASD TECH C
2581	Test 2581
2582	LASD RESERVE
